Product,New Price,Original Price,Hot Favourite,Product image URL,Upload Time,Store Name
18.5-Oz Nerds Gummy Clusters Candy Family Size Bag (Rainbow),$5.65 ,$7 ,0,https://static.slickdealscdn.com/attachment/1/9/1/2/6/8/2/200x200/14940709.thumb,20 minutes ago,Amazon
The Yakuza Remastered Collection Digital Download: PS4 $12 or Xbox Series X|S,$10 ,$40 ,0,https://static.slickdealscdn.com/attachment/4/8/2/3/7/7/200x200/14946223.thumb,32 minutes ago,Xbox.com
Select Accounts: 7-Pack 1.5-Oz Temptations Meaty Bites Cat Treats (Various),$7.60 ,$18 ,0,https://static.slickdealscdn.com/attachment/1/1/3/3/5/6/0/200x200/14945446.thumb,43 minutes ago,Amazon
Capital One Venture Rewards Credit Card: Spend $4K in First 3 Months to Earn,75K Miles,,1,https://slickdeals.net/attachment/2/5/1/6/8/8/6/200x200/12453787.thumb,about 1 year ago,Capital One - Bank Advertiser
lululemon Bags: 2.5L All Day Essentials Belt Bag or Everywhere Belt Bag Manifesto Print,$19 each,$48 ,1,https://slickdeals.net/attachment/1/8/6/3/2/3/2/200x200/14943811.thumb,about 23 hours ago,lululemon
"16TB Seagate Exos X18 Enterprise 3.5"" 7200 RPM 6Gb/s Hard Drive (Recertified)",$140 ,$170 ,0,https://static.slickdealscdn.com/attachment/4/8/7/6/7/6/0/200x200/14938966.thumb,about 1 hour ago,eBay
"Bank of America® Customized Cash Rewards Credit Card: $200 Cash Rewards Bonus If Spend $1,000 on Purchases in First 90 Days",,,1,https://slickdeals.net/attachment/3/0/4/4/1/5/6/8/200x200/14119412.thumb,6 months ago,Bank of America - Bank Advertiser
WaterSong Spring Single Handle Kitchen Faucet w/ 2 Optional Sprayers,$29 ,$82 ,0,https://static.slickdealscdn.com/attachment/1/9/5/4/9/7/5/6/200x200/14938474.thumb,about 1 hour ago,Woot!
24-Pack 11.15-Oz S.Pellegrino Sparkling Natural Mineral Water (Various Flavors),from $13,$20 ,0,https://static.slickdealscdn.com/attachment/3/8/9/0/8/6/200x200/14945011.thumb,about 1 hour ago,Amazon
adidas Shoes: Men's Lite Racer Adapt 4.0 (Core Black / Vivid Red / Carbon),$28 ,$70 ,0,https://slickdeals.net/attachment/5/7/4/5/9/6/3/200x200/14942977.thumb,about 6 hours ago,Shop Premium Outlets
UFB Secure Savings: Earn up to 5.25% APY*,,,1,https://slickdeals.net/attachment/3/0/4/4/1/5/6/8/200x200/14050145.thumb,6 months ago,Axos Bank
Tweezerman Petite Point and Slant Tweezer Set with Travel Case (Rose Gold),$10.80 ,$28 ,0,https://static.slickdealscdn.com/attachment/4/3/4/7/1/200x200/14945857.thumb,about 2 hours ago,Amazon
Prime Members: 82L BlissTotes Collapsible Waterproof Laundry Basket w/ Handles,$6.65 ,$12 ,0,https://static.slickdealscdn.com/attachment/5/7/4/5/9/6/3/200x200/14942443.thumb,about 2 hours ago,Amazon
"32-Oz Nature Nate’s 100% Pure, Raw & Unfiltered Honey",$7.95 ,$11 ,0,https://static.slickdealscdn.com/attachment/1/3/2/7/8/2/200x200/14945899.thumb,about 2 hours ago,Amazon
"Apple Watch Series 9 GPS w/ Aluminum Case: 45mm $329, 41mm (Various Colors)",$299 ,$399 ,0,https://slickdeals.net/attachment/1/1/3/3/5/6/0/200x200/14944405.thumb,about 7 hours ago,Best Buy
"Courage, The Cowardly Dog: The Complete Series (Digital SD TV Show)",$20 ,$50 ,0,https://static.slickdealscdn.com/attachment/8/6/6/3/0/200x200/14940322.thumb,about 3 hours ago,Apple iTunes
"200-Ct 9"" Great Value Everyday Strong Microwave Safe Disposable Paper Plates",$10 ,$12 ,0,https://static.slickdealscdn.com/attachment/4/3/4/7/1/200x200/14945251.thumb,about 3 hours ago,Walmart
